City,Zip,Station,Address,Base,Net,Discount
Columbia (Town Center),21044,BP,"5485 HARPERS FARM RD, 21044",3.27,3.22,BP
Columbia (Town Center),21044,Sunoco,"6440 Freetown Rd, 21044",3.39,3.36,Sunoco
Columbia (Town Center),21044,Exxon,"Unknown Address, 21044",3.69,3.66,Exxon
Columbia (East),21045,Liberty,"6425 Dobbin Center Way, 21045",2.85,2.85,-
Columbia (East),21045,Exxon,"7100 Minstrel Way, 21045",2.79,2.76,Exxon
Columbia (East),21045,Shell,"7248 Cradlerock Way, 21045",2.85,2.8,Shell
Columbia (East),21045,Mobil,"6251 Columbia Crossing Cir, 21045",2.95,2.92,Mobil
Columbia (East),21045,7-Eleven,"5901 Stevens Forest Rd, 21045",2.95,2.92,7-Eleven
Columbia (East),21045,7-Eleven,"Unknown Address, 21045",2.98,2.95,7-Eleven
Columbia (East),21045,Exxon,"Unknown Address, 21045",2.99,2.96,Exxon
Columbia (Guilford),21046,Royal Farms,"7084 Minstrel Way, 21046",2.79,2.69,Royal Farms
Columbia (Guilford),21046,Exxon,"6300 Stevens Forest, 21046",2.89,2.86,Exxon
Columbia (Guilford),21046,Shell,"Unknown Address, 21046",3.13,3.08,Shell
Columbia (Guilford),21046,Exxon,"7201 Eden Brook Dr, 21046",3.29,3.26,Exxon
Ellicott City (Central),21042,Carroll Motor Fuels,"9109 BALTIMORE NATIONAL PIKE, 21042",2.71,2.71,-
Ellicott City (Central),21042,Dash-In,"9075 Baltimore National Pike, 21042",2.89,2.89,-
Ellicott City (Central),21042,Mobil,"9320 Baltimore National Pike, 21042",2.96,2.93,Mobil
Ellicott City (Central),21042,Sunoco,"Unknown Address, 21042",2.99,2.96,Sunoco
Ellicott City (Central),21042,Sunoco,"9395 Baltimore National Pike, 21042",2.99,2.96,Sunoco
Ellicott City (Central),21042,Exxon,"10193 Baltimore National Pike, 21042",3.05,3.02,Exxon
Ellicott City (Central),21042,Shell,"4755 Dorsey Hall Dr, 21042",3.09,3.04,Shell
Ellicott City (North),21043,Carroll Motor Fuels,"8300 Baltimore National Pike, 21043",2.71,2.71,-
Ellicott City (North),21043,Carroll Motor Fuels,"4132 Old Columbia Pike, 21043",2.71,2.71,-
Ellicott City (North),21043,Exxon,"4235 Montgomery Rd, 21043",2.73,2.7,Exxon
Ellicott City (North),21043,BP,"8505 Baltimore National Pike, 21043",2.73,2.68,BP
Ellicott City (North),21043,Sunoco,"8411 Baltimore National Pike, 21043",2.73,2.7,Sunoco
Ellicott City (North),21043,Dash In,"4205 Montgomery Rd, 21043",2.94,2.94,-
Ellicott City (North),21043,Carroll Motor Fuels,"8720 Baltimore National Pike, 21043",2.93,2.93,-
Ellicott City (North),21043,Mobil,"4398 Montgomery Rd, 21043",2.96,2.93,Mobil
Ellicott City (North),21043,High's,"3095 Rogers Ave, 21043",2.99,2.94,High's
Ellicott City (North),21043,Exxon,"8850 Centre Park Dr, 21043",2.99,2.96,Exxon
Ellicott City (North),21043,Shell,"5651 Waterloo Rd, 21043",3.14,3.09,Shell
Ellicott City (North),21043,Shell,"64 Frederick Rd, 21043",2.99,2.94,Shell
Scaggsville / Laurel,20723,7-Eleven,"9651 Washington Blvd, 20723",2.89,2.86,7-Eleven
Scaggsville / Laurel,20723,Shell,"9280 All Saints Rd, 20723",2.99,2.94,Shell
Scaggsville / Laurel,20723,Weis,"9250 Washington Blvd, 20723",2.99,2.99,-
Scaggsville / Laurel,20723,Exxon,"9275 All Saints Rd, 20723",3.05,3.02,Exxon
Scaggsville / Laurel,20723,Exxon,"8850 Gorman Rd, 20723",3.15,3.12,Exxon
Scaggsville / Laurel,20723,Exxon,"7500 Montpelier Rd, 20723",3.39,3.36,Exxon
